Local,GolesLocal,GolesVisitante,Visitante
Paris,2,0,Malmö
Real Madrid,4,0,Shakhtar Donetsk
Shakhtar Donetsk,0,3,Paris
Malmö,0,2,Real Madrid
Paris,0,0,Real Madrid
Malmö,1,0,Shakhtar Donetsk
Shakhtar Donetsk,4,0,Malmö
Real Madrid,1,0,Paris
Malmö,0,5,Paris
Shakhtar Donetsk,3,4,Real Madrid
Paris,2,0,Shakhtar Donetsk
Real Madrid,8,0,Malmö
Wolfsburg,1,0,CSKAMoscú
PSV Eindhoven,2,1,Man. United
Man. United,2,1,Wolfsburg
CSKAMoscú,3,2,PSV Eindhoven
CSKAMoscú,1,1,Man. United
Wolfsburg,2,0,PSV Eindhoven
Man. United,1,0,CSKAMoscú
PSV Eindhoven,2,0,Wolfsburg
CSKAMoscú,0,2,Wolfsburg
Man. United,0,0,PSV Eindhoven
Wolfsburg,3,2,Man. United
PSV Eindhoven,2,1,CSKAMoscú
Galatasaray,0,2,Atletico
Benfica,2,0,Astana
Astana,2,2,Galatasaray
Atletico,1,2,Benfica
Atletico,4,0,Astana
Galatasaray,2,1,Benfica
Astana,0,0,Atletico
Benfica,2,1,Galatasaray
Astana,2,2,Benfica
Atletico,2,0,Galatasaray
Galatasaray,1,1,Astana
Benfica,1,2,Atletico
Man. City,1,2,Juventus
Sevilla,3,0,BorussiaMönchengladbach
BorussiaMönchengladbach,1,2,Man. City
Juventus,2,0,Sevilla
Juventus,0,0,BorussiaMönchengladbach
Man. City,2,1,Sevilla
BorussiaMönchengladbach,1,1,Juventus
Sevilla,1,3,Man. City
Juventus,1,0,Man. City
BorussiaMönchengladbach,4,2,Sevilla
Man. City,4,2,BorussiaMönchengladbach
Sevilla,1,0,Juventus
BayerLeverkusen,4,1,BATEBorisov
Roma,1,1,Barcelona
Barcelona,2,1,BayerLeverkusen
BATEBorisov,3,2,Roma
BATEBorisov,0,2,Barcelona
BayerLeverkusen,4,4,Roma
Barcelona,3,0,BATEBorisov
Roma,3,2,BayerLeverkusen
BATEBorisov,1,1,BayerLeverkusen
Barcelona,6,1,Roma
BayerLeverkusen,1,1,Barcelona
Roma,0,0,BATEBorisov
DinamoZagreb,2,1,Arsenal
Olympiacos,0,3,Bayern
Bayern,5,0,DinamoZagreb
Arsenal,2,3,Olympiacos
Arsenal,2,0,Bayern
DinamoZagreb,0,1,Olympiacos
Bayern,5,1,Arsenal
Olympiacos,2,1,DinamoZagreb
Arsenal,3,0,DinamoZagreb
Bayern,4,0,Olympiacos
DinamoZagreb,0,2,Bayern
Olympiacos,0,3,Arsenal
Dynamo Kyiv,2,2,Porto
Chelsea,4,0,MaccabiTelAviv
MaccabiTelAviv,0,2,Dynamo Kyiv
Porto,2,1,Chelsea
Porto,2,0,MaccabiTelAviv
Dynamo Kyiv,0,0,Chelsea
MaccabiTelAviv,1,3,Porto
Chelsea,2,1,Dynamo Kyiv
Porto,0,2,Dynamo Kyiv
MaccabiTelAviv,0,4,Chelsea
Dynamo Kyiv,1,0,MaccabiTelAviv
Chelsea,2,0,Porto
Valencia,2,3,Zenit
Gent,1,1,OlympiquedeLyon
OlympiquedeLyon,0,1,Valencia
Zenit,2,1,Gent
Zenit,3,1,OlympiquedeLyon
Valencia,2,1,Gent
OlympiquedeLyon,0,2,Zenit
Gent,1,0,Valencia
Zenit,2,0,Valencia
OlympiquedeLyon,1,2,Gent
Valencia,0,2,OlympiquedeLyon
Gent,2,1,Zenit
