Local,GolesLocal,GolesVisitante,Visitante
Olympiacos,3,2,Atletico
Juventus,2,0,Malmö
Malmö,2,0,Olympiacos
Atletico,1,0,Juventus
Atletico,5,0,Malmö
Olympiacos,1,0,Juventus
Malmö,0,2,Atletico
Juventus,3,2,Olympiacos
Atletico,4,0,Olympiacos
Malmö,0,2,Juventus
Olympiacos,4,2,Malmö
Juventus,0,0,Atletico
Liverpool,2,1,LudogoretsRazgrad
Real Madrid,5,1,F.C.Basel
Basel,1,0,Liverpool
LudogoretsRazgrad,1,2,Real Madrid
LudogoretsRazgrad,1,0,Basel
Liverpool,0,3,Real Madrid
Basel,4,0,LudogoretsRazgrad
Real Madrid,1,0,Liverpool
LudogoretsRazgrad,2,2,Liverpool
Basel,0,1,Real Madrid
Liverpool,1,1,Basel
Real Madrid,4,0,LudogoretsRazgrad
Mónaco,1,0,BayerLeverkusen
Benfica,0,2,Zenit
Zenit,0,0,Mónaco
BayerLeverkusen,3,1,Benfica
BayerLeverkusen,2,0,Zenit
Mónaco,0,0,Benfica
Zenit,1,2,BayerLeverkusen
Benfica,1,0,Mónaco
Zenit,1,0,Benfica
BayerLeverkusen,0,1,Mónaco
Mónaco,2,0,Zenit
Benfica,0,0,BayerLeverkusen
Galatasaray,1,1,Anderlecht
Dortmund,2,0,Arsenal
Arsenal,4,1,Galatasaray
Anderlecht,0,3,Dortmund
Anderlecht,1,2,Arsenal
Galatasaray,0,4,Dortmund
Arsenal,3,3,Anderlecht
Dortmund,4,1,Galatasaray
Anderlecht,2,0,Galatasaray
Arsenal,2,0,Dortmund
Galatasaray,1,4,Arsenal
Dortmund,1,1,Anderlecht
Roma,5,1,CSKAMoscú
Bayern,1,0,Man. City
CSKAMoscú,0,1,Bayern
Man. City,1,1,Roma
CSKAMoscú,2,2,Man. City
Roma,1,7,Bayern
Man. City,1,2,CSKAMoscú
Bayern,2,0,Roma
CSKAMoscú,1,1,Roma
Man. City,3,2,Bayern
Roma,0,2,Man. City
Bayern,3,0,CSKAMoscú
Barcelona,1,0,APOEL
Ajax,1,1,Paris
Paris,3,2,Barcelona
APOEL,1,1,Ajax
APOEL,0,1,Paris
Barcelona,3,1,Ajax
Paris,1,0,APOEL
Ajax,0,2,Barcelona
APOEL,0,4,Barcelona
Paris,3,1,Ajax
Barcelona,3,1,Paris
Ajax,4,0,APOEL
Chelsea,1,1,Schalke04
Maribor,1,1,Sporting CP
Sporting CP,0,1,Chelsea
Schalke04,1,1,Maribor
Schalke04,4,3,Sporting CP
Chelsea,6,0,Maribor
Sporting CP,4,2,Schalke04
Maribor,1,1,Chelsea
Schalke04,0,5,Chelsea
Sporting CP,3,1,Maribor
Chelsea,3,1,Sporting CP
Maribor,0,1,Schalke04
Porto,6,0,BATEBorisov
AthleticClub,0,0,Shakhtar Donetsk
Shakhtar Donetsk,2,2,Porto
BATEBorisov,2,1,AthleticClub
BATEBorisov,0,7,Shakhtar Donetsk
Porto,2,1,AthleticClub
Shakhtar Donetsk,5,0,BATEBorisov
AthleticClub,0,2,Porto
BATEBorisov,0,3,Porto
Shakhtar Donetsk,0,1,AthleticClub
Porto,1,1,Shakhtar Donetsk
AthleticClub,2,0,BATEBorisov
